"Name der Installation";"phzh"
"Datum des Reports";"01. Jun 2022, 14:12"
"Ersteller des Reports";"Alix Mela (Admin)"
"Titel";"Langzeithistorie - Jahr (31. Mai 2021, 02:00 - 31. Mai 2022, 02:00)"
"Vollauslastung [min]";"0"
"Abgewiesene Benutzer";"0"
"Zugänge";"925994"
"Abgänge";"925131"
"Abgänge - Logout";"85788"
"Abgänge - Timeout";"835213"
"Abgänge - Leerlaufzeit";"0"
"Abgänge - Leerlaufzeit (1. Anfrage)";"0"
"Abgänge - Anonym zu Login";"0"
"Abgänge - Sonstige";"4130"

"active_min";"active_max";"active_avg";"slot_begin"
"3";"1116";"418";"08.10.2021 00:00"
"3";"308";"138";"09.10.2021 00:00"
"2";"427";"211";"10.10.2021 00:00"
"5";"1406";"603";"11.10.2021 00:00"
"1";"1429";"605";"12.10.2021 00:00"
"5";"1253";"509";"13.10.2021 00:00"
"10";"1248";"530";"14.10.2021 00:00"
"1";"1178";"453";"15.10.2021 00:00"
"1";"338";"148";"16.10.2021 00:00"
"1";"417";"211";"17.10.2021 00:00"
"10";"1431";"616";"18.10.2021 00:00"
"1";"1277";"572";"19.10.2021 00:00"
"9";"1265";"526";"20.10.2021 00:00"
"3";"1239";"532";"21.10.2021 00:00"
"3";"1204";"437";"22.10.2021 00:00"
"3";"304";"138";"23.10.2021 00:00"
"2";"465";"237";"24.10.2021 00:00"
"7";"1495";"637";"25.10.2021 00:00"
"5";"1131";"531";"26.10.2021 00:00"
"4";"1244";"571";"27.10.2021 00:00"
"6";"1111";"480";"28.10.2021 00:00"
"3";"1212";"436";"29.10.2021 00:00"
"1";"391";"161";"30.10.2021 00:00"
"6";"417";"215";"31.10.2021 00:00"
"4";"1369";"591";"01.11.2021 00:00"
"1";"1111";"508";"02.11.2021 00:00"
"7";"1160";"533";"03.11.2021 00:00"
"7";"1027";"448";"04.11.2021 00:00"
"4";"1077";"400";"05.11.2021 00:00"
"2";"319";"138";"06.11.2021 00:00"
"1";"430";"205";"07.11.2021 00:00"
"4";"1340";"570";"08.11.2021 00:00"
"1";"1126";"510";"09.11.2021 00:00"
"6";"1163";"520";"10.11.2021 00:00"
"3";"1148";"497";"11.11.2021 00:00"
"2";"1124";"423";"12.11.2021 00:00"
"2";"399";"169";"13.11.2021 00:00"
"1";"510";"237";"14.11.2021 00:00"
"4";"1158";"544";"15.11.2021 00:00"
"1";"1135";"522";"16.11.2021 00:00"
"4";"1082";"491";"17.11.2021 00:00"
"6";"1070";"469";"18.11.2021 00:00"
"4";"927";"368";"19.11.2021 00:00"
"1";"367";"165";"20.11.2021 00:00"
"1";"445";"202";"21.11.2021 00:00"
"7";"1121";"523";"22.11.2021 00:00"
"1";"1063";"470";"23.11.2021 00:00"
"1";"963";"443";"24.11.2021 00:00"
"3";"991";"431";"25.11.2021 00:00"
"1";"1038";"386";"26.11.2021 00:00"
"2";"361";"158";"27.11.2021 00:00"
"4";"409";"205";"28.11.2021 00:00"
