"Name der Installation";"phzh"
"Datum des Reports";"07. Mär 2022, 19:00"
"Ersteller des Reports";"Alix Mela (Admin)"
"Titel";"Langzeithistorie - Jahr (28. Feb 2021, 01:00 - 28. Feb 2022, 01:00)"
"Vollauslastung [min]";"0"
"Abgewiesene Benutzer";"0"
"Zugänge";"989915"
"Abgänge";"988911"
"Abgänge - Logout";"95409"
"Abgänge - Timeout";"888791"
"Abgänge - Leerlaufzeit";"0"
"Abgänge - Leerlaufzeit (1. Anfrage)";"0"
"Abgänge - Anonym zu Login";"0"
"Abgänge - Sonstige";"4711"

"active_min";"active_max";"active_avg";"slot_begin"
"2";"1530";"653";"21.09.2021 00:00"
"6";"1501";"645";"22.09.2021 00:00"
"2";"1629";"665";"23.09.2021 00:00"
"1";"1474";"508";"24.09.2021 00:00"
"1";"363";"153";"25.09.2021 00:00"
"2";"548";"270";"26.09.2021 00:00"
"4";"1725";"737";"27.09.2021 00:00"
"5";"1373";"644";"28.09.2021 00:00"
"3";"1560";"649";"29.09.2021 00:00"
"2";"1247";"559";"30.09.2021 00:00"
"2";"1459";"527";"01.10.2021 00:00"
"3";"498";"206";"02.10.2021 00:00"
"2";"500";"258";"03.10.2021 00:00"
"7";"1643";"715";"04.10.2021 00:00"
"5";"1240";"580";"05.10.2021 00:00"
"1";"1369";"607";"06.10.2021 00:00"
"4";"1203";"522";"07.10.2021 00:00"
"3";"1116";"418";"08.10.2021 00:00"
"3";"308";"138";"09.10.2021 00:00"
"2";"427";"211";"10.10.2021 00:00"
"5";"1406";"603";"11.10.2021 00:00"
"1";"1429";"605";"12.10.2021 00:00"
"5";"1253";"509";"13.10.2021 00:00"
"10";"1248";"530";"14.10.2021 00:00"
"1";"1178";"453";"15.10.2021 00:00"
"1";"338";"148";"16.10.2021 00:00"
"1";"417";"211";"17.10.2021 00:00"
"10";"1431";"616";"18.10.2021 00:00"
"1";"1277";"572";"19.10.2021 00:00"
"9";"1265";"526";"20.10.2021 00:00"
"3";"1239";"532";"21.10.2021 00:00"
"3";"1204";"437";"22.10.2021 00:00"
"3";"304";"138";"23.10.2021 00:00"
"2";"465";"237";"24.10.2021 00:00"
"7";"1495";"637";"25.10.2021 00:00"
"5";"1131";"531";"26.10.2021 00:00"
"4";"1244";"571";"27.10.2021 00:00"
"6";"1111";"480";"28.10.2021 00:00"
"3";"1212";"436";"29.10.2021 00:00"
"1";"391";"161";"30.10.2021 00:00"
"6";"417";"215";"31.10.2021 00:00"
"4";"1369";"591";"01.11.2021 00:00"
"1";"1111";"508";"02.11.2021 00:00"
"7";"1160";"533";"03.11.2021 00:00"
"7";"1027";"448";"04.11.2021 00:00"
"4";"1077";"400";"05.11.2021 00:00"
"2";"319";"138";"06.11.2021 00:00"
"1";"430";"205";"07.11.2021 00:00"
"4";"1340";"570";"08.11.2021 00:00"
"1";"1126";"510";"09.11.2021 00:00"
"6";"1163";"520";"10.11.2021 00:00"
"3";"1148";"497";"11.11.2021 00:00"
"2";"1124";"423";"12.11.2021 00:00"
"2";"399";"169";"13.11.2021 00:00"
"1";"510";"237";"14.11.2021 00:00"
"4";"1158";"544";"15.11.2021 00:00"
"1";"1135";"522";"16.11.2021 00:00"
"4";"1082";"491";"17.11.2021 00:00"
"6";"1070";"469";"18.11.2021 00:00"
"4";"927";"368";"19.11.2021 00:00"
"1";"367";"165";"20.11.2021 00:00"
"1";"445";"202";"21.11.2021 00:00"
"7";"1121";"523";"22.11.2021 00:00"
"1";"1063";"470";"23.11.2021 00:00"
"1";"963";"443";"24.11.2021 00:00"
"3";"991";"431";"25.11.2021 00:00"
"1";"1038";"386";"26.11.2021 00:00"
"2";"361";"158";"27.11.2021 00:00"
"4";"409";"205";"28.11.2021 00:00"
"6";"1162";"533";"29.11.2021 00:00"
"2";"967";"452";"30.11.2021 00:00"
"5";"1094";"478";"01.12.2021 00:00"
"1";"1028";"431";"02.12.2021 00:00"
"5";"934";"345";"03.12.2021 00:00"
"3";"386";"166";"04.12.2021 00:00"
"2";"465";"234";"05.12.2021 00:00"
"6";"1151";"528";"06.12.2021 00:00"
"4";"981";"456";"07.12.2021 00:00"
"4";"1149";"517";"08.12.2021 00:00"
"4";"1010";"467";"09.12.2021 00:00"
"4";"984";"385";"10.12.2021 00:00"
"2";"337";"154";"11.12.2021 00:00"
"3";"435";"207";"12.12.2021 00:00"
"9";"1254";"534";"13.12.2021 00:00"
"4";"1171";"512";"14.12.2021 00:00"
"2";"982";"446";"15.12.2021 00:00"
"5";"1045";"461";"16.12.2021 00:00"
"6";"1003";"380";"17.12.2021 00:00"
"3";"259";"129";"18.12.2021 00:00"
"2";"379";"180";"19.12.2021 00:00"
"12";"957";"432";"20.12.2021 00:00"
"6";"1011";"422";"21.12.2021 00:00"
"3";"771";"359";"22.12.2021 00:00"
"6";"778";"314";"23.12.2021 00:00"
"2";"159";"53";"24.12.2021 00:00"
"1";"70";"29";"25.12.2021 00:00"
"1";"110";"44";"26.12.2021 00:00"
"1";"191";"78";"27.12.2021 00:00"
"1";"206";"90";"28.12.2021 00:00"
"1";"211";"90";"29.12.2021 00:00"
"1";"167";"79";"30.12.2021 00:00"
"1";"117";"40";"31.12.2021 00:00"
"1";"87";"33";"01.01.2022 00:00"
"1";"190";"84";"02.01.2022 00:00"
"2";"396";"177";"03.01.2022 00:00"
"1";"366";"159";"04.01.2022 00:00"
"3";"396";"177";"05.01.2022 00:00"
"3";"396";"174";"06.01.2022 00:00"
"3";"439";"182";"07.01.2022 00:00"
"2";"264";"116";"08.01.2022 00:00"
"1";"323";"158";"09.01.2022 00:00"
"2";"655";"306";"10.01.2022 00:00"
"3";"544";"238";"11.01.2022 00:00"
"2";"468";"209";"12.01.2022 00:00"
"1";"602";"240";"13.01.2022 00:00"
"1";"507";"215";"14.01.2022 00:00"
"1";"307";"119";"15.01.2022 00:00"
"2";"224";"103";"16.01.2022 00:00"
"1";"606";"265";"17.01.2022 00:00"
"1";"499";"215";"18.01.2022 00:00"
"1";"455";"214";"19.01.2022 00:00"
"2";"434";"204";"20.01.2022 00:00"
